Hz,Gain_dB,NF_dB
5.0e9,12.16,8.05
5.2e9,12.60,7.37
5.4e9,12.97,6.82
5.6e9,13.22,6.46
5.8e9,13.43,6.08
6.0e9,13.58,5.87
6.2e9,13.70,5.64
6.4e9,13.80,5.49
6.6e9,13.87,5.37
6.8e9,13.95,5.29
7.0e9,13.99,5.70
7.2e9,14.02,5.10
7.4e9,14.03,5.10
7.6e9,14.04,5.02
7.8e9,14.03,5.00
8.0e9,13.99,4.99
8.2e9,13.93,5.01
8.3e9,13.92,5.04
8.4e9,13.88,5.01
8.8e9,13.71,5.08
8.9e9,13.66,5.12
9.0e9,13.59,5.19
9.1e9,13.54,5.11
9.2e9,13.47,5.15
9.3e9,13.42,5.17
9.6e9,13.24,5.31
9.7e9,13.16,5.30
9.8e9,13.10,5.31
9.9e9,13.07,5.34
10.0e9,13.04,5.30
10.5e9,12.72,5.50
11.0e9,12.47,5.63
11.5e9,12.25,5.76
12.0e9,12.05,5.85
12.5e9,11.89,5.99
13.0e9,11.75,6.09
13.5e9,11.71,6.19
14.0e9,11.79,6.26
14.5e9,11.97,6.28
15.0e9,12.25,6.35
15.5e9,12.45,6.31
16.0e9,12.56,6.23
16.5e9,12.62,6.32
17.0e9,12.41,6.37
17.5e9,11.93,6.66
18.0e9,11.38,6.97
