Hz,Gain_dB,NF_dB
10e6,14.34,5.13
50e6,14.47,4.84
100e6,14.48,4.69
200e6,14.30,4.73
300e6,14.28,4.75
400e6,14.42,4.72
500e6,14.31,4.74
600e6,14.19,4.80
700e6,14.31,4.80
800e6,14.19,4.80
900e6,14.17,4.80
1000e6,14.12,4.83
1500e6,13.93,4.98
2000e6,13.80,5.06
2500e6,13.73,5.07
3000e6,13.71,5.07
3500e6,13.72,5.09
4000e6,13.74,5.07
4500e6,13.79,4.98
5000e6,13.87,4.89
5500e6,13.94,4.95
6000e6,13.94,4.82
6500e6,13.88,4.86
7000e6,13.81,4.95
7500e6,13.72,5.00
8000e6,13.59,5.10
8500e6,13.45,5.11
9000e6,13.27,5.25
9500e6,13.11,5.23
10000e6,12.98,5.21
10500e6,12.85,5.17
11000e6,12.70,5.15
11500e6,12.55,5.13
12000e6,12.33,5.10
12500e6,11.91,5.20
13000e6,11.40,5.31
13500e6,10.79,5.45
14000e6,10.18,5.57
14500e6,9.68,5.77
15000e6,9.33,5.93
15500e6,8.98,6.12
16000e6,8.65,6.14
16500e6,8.37,6.05
17000e6,7.92,5.88
17500e6,7.44,5.94
18000e6,6.94,6.18
