Hz,Gain_dB,NF_dB
5.0e9,14.34,6.20
5.2e9,14.74,5.54
5.4e9,15.06,5.04
5.6e9,15.28,4.67
5.8e9,15.44,4.35
6.0e9,15.57,4.19
6.2e9,15.67,3.94
6.4e9,15.78,3.77
6.6e9,15.84,3.70
6.8e9,15.90,3.57
7.0e9,15.96,3.49
7.2e9,16.00,3.41
7.4e9,16.03,3.39
7.6e9,16.06,3.33
7.8e9,16.07,3.32
8.0e9,16.07,3.25
8.2e9,16.04,3.27
8.3e9,16.04,3.26
8.4e9,16.00,3.25
8.8e9,15.89,3.34
8.9e9,15.87,3.36
9.0e9,15.81,3.37
9.1e9,15.81,3.34
9.2e9,15.73,3.35
9.3e9,15.70,3.38
9.6e9,15.55,3.45
9.7e9,15.49,3.44
9.8e9,15.42,3.45
9.9e9,15.42,3.51
10.0e9,15.42,3.50
10.5e9,15.15,3.61
11.0e9,15.04,3.70
11.5e9,14.88,3.74
12.0e9,14.77,3.87
12.5e9,14.72,3.94
13.0e9,14.70,4.04
13.5e9,14.76,4.10
14.0e9,14.88,4.13
14.5e9,15.10,4.18
15.0e9,15.42,4.24
15.5e9,15.66,4.13
16.0e9,15.93,4.08
16.5e9,16.06,4.17
17.0e9,16.01,4.23
17.5e9,15.69,4.36
18.0e9,15.19,4.71
