Hz,Gain_dB,NF_dB
10e6,15.46,5.81
50e6,15.61,5.71
100e6,15.62,5.53
200e6,15.36,5.54
300e6,15.37,5.50
400e6,15.53,5.51
500e6,15.44,5.60
600e6,15.35,5.61
700e6,15.41,5.63
800e6,15.33,5.64
900e6,15.26,5.67
1000e6,15.26,5.68
1500e6,15.06,5.84
2000e6,14.95,5.92
2500e6,14.83,5.90
3000e6,14.70,6.00
3500e6,14.57,6.02
4000e6,14.50,6.00
4500e6,14.47,5.88
5000e6,14.43,5.81
5500e6,14.35,5.80
6000e6,14.23,5.76
6500e6,14.10,5.80
7000e6,13.99,5.93
7500e6,13.88,6.01
8000e6,13.71,6.15
8500e6,13.48,6.09
9000e6,13.20,6.25
9500e6,12.94,6.26
10000e6,12.66,6.47
10500e6,12.39,6.30
11000e6,12.14,6.26
11500e6,11.87,6.26
12000e6,11.53,6.21
12500e6,10.99,6.33
13000e6,10.31,6.50
13500e6,9.67,6.60
14000e6,9.13,6.79
14500e6,8.67,7.02
15000e6,8.26,7.28
15500e6,7.81,7.54
16000e6,7.43,7.48
16500e6,7.07,7.38
17000e6,6.52,7.28
17500e6,6.03,7.61
18000e6,5.55,8.02
