Hz,Gain_dB,NF_dB
10e6,14.91,4.12
50e6,15.02,3.85
100e6,15.02,3.74
200e6,14.92,3.79
300e6,14.93,3.80
400e6,15.02,3.73
500e6,14.86,3.78
600e6,14.78,3.81
700e6,14.92,3.83
800e6,14.74,3.81
900e6,14.81,3.85
1000e6,14.69,3.86
1500e6,14.62,4.00
2000e6,14.45,4.01
2500e6,14.40,4.03
3000e6,14.38,4.05
3500e6,14.40,4.09
4000e6,14.44,4.06
4500e6,14.44,3.96
5000e6,14.52,3.88
5500e6,14.59,3.86
6000e6,14.59,3.78
6500e6,14.51,3.82
7000e6,14.48,3.91
7500e6,14.40,3.90
8000e6,14.31,3.98
8500e6,14.25,3.92
9000e6,14.16,4.05
9500e6,14.09,4.08
10000e6,14.01,4.07
10500e6,13.92,4.01
11000e6,13.84,3.98
11500e6,13.80,3.98
12000e6,13.77,3.91
12500e6,13.58,3.94
13000e6,13.15,4.09
13500e6,12.51,4.26
14000e6,11.79,4.32
14500e6,11.19,4.48
15000e6,10.88,4.58
15500e6,10.52,4.71
16000e6,10.17,4.81
16500e6,9.80,4.80
17000e6,9.46,4.62
17500e6,8.92,4.44
18000e6,8.25,4.56
