Hz,Gain_dB,NF_dB
5.0e9,12.80,7.22
5.2e9,13.25,6.54
5.4e9,13.60,6.04
5.6e9,13.85,5.63
5.8e9,14.04,5.33
6.0e9,14.18,5.10
6.2e9,14.29,4.88
6.4e9,14.40,4.72
6.6e9,14.47,4.62
6.8e9,14.53,4.50
7.0e9,14.59,4.40
7.2e9,14.62,4.37
7.4e9,14.64,4.28
7.6e9,14.66,4.22
7.8e9,14.65,4.23
8.0e9,14.64,4.18
8.2e9,14.58,4.19
8.3e9,14.57,4.25
8.4e9,14.52,4.21
8.8e9,14.38,4.25
8.9e9,14.34,4.31
9.0e9,14.27,4.34
9.1e9,14.23,4.30
9.2e9,14.16,4.34
9.3e9,14.11,4.32
9.6e9,13.92,4.44
9.7e9,13.85,4.44
9.8e9,13.76,4.43
9.9e9,13.76,4.47
10.0e9,13.74,4.48
10.5e9,13.44,4.62
11.0e9,13.21,4.72
11.5e9,13.00,4.83
12.0e9,12.81,4.94
12.5e9,12.69,5.02
13.0e9,12.59,5.18
13.5e9,12.55,5.30
14.0e9,12.65,5.29
14.5e9,12.82,5.32
15.0e9,13.11,5.38
15.5e9,13.32,5.29
16.0e9,13.47,5.31
16.5e9,13.51,5.34
17.0e9,13.32,5.40
17.5e9,12.92,5.63
18.0e9,12.39,5.97
