Hz,Gain_dB,NF_dB
10e6,15.80,5.20
50e6,15.95,4.91
100e6,15.95,4.73
200e6,15.79,4.78
300e6,15.77,4.73
400e6,15.89,4.76
500e6,15.79,4.81
600e6,15.68,4.82
700e6,15.80,4.83
800e6,15.69,4.85
900e6,15.69,4.89
1000e6,15.65,4.86
1500e6,15.49,5.04
2000e6,15.36,5.10
2500e6,15.26,5.09
3000e6,15.19,5.15
3500e6,15.15,5.16
4000e6,15.10,5.14
4500e6,15.07,5.06
5000e6,15.05,4.99
5500e6,14.99,5.01
6000e6,14.90,4.92
6500e6,14.77,4.96
7000e6,14.70,5.05
7500e6,14.62,5.10
8000e6,14.54,5.22
8500e6,14.45,5.21
9000e6,14.30,5.37
9500e6,14.15,5.34
10000e6,14.01,5.34
10500e6,13.87,5.30
11000e6,13.73,5.23
11500e6,13.59,5.25
12000e6,13.41,5.26
12500e6,13.07,5.35
13000e6,12.57,5.50
13500e6,11.94,5.64
14000e6,11.27,5.76
14500e6,10.71,5.99
15000e6,10.30,6.16
15500e6,9.85,6.34
16000e6,9.45,6.38
16500e6,9.09,6.32
17000e6,8.57,6.21
17500e6,8.06,6.28
18000e6,7.58,6.41
