Hz,Gain_dB,NF_dB
5.0e9,12.93,7.19
5.2e9,13.37,6.52
5.4e9,13.72,5.98
5.6e9,13.96,5.60
5.8e9,14.15,5.28
6.0e9,14.29,5.06
6.2e9,14.40,4.84
6.4e9,14.50,4.69
6.6e9,14.57,4.58
6.8e9,14.63,4.47
7.0e9,14.69,4.45
7.2e9,14.72,4.31
7.4e9,14.75,4.25
7.6e9,14.76,4.20
7.8e9,14.75,4.19
8.0e9,14.74,4.19
8.2e9,14.69,4.18
8.3e9,14.68,4.19
8.4e9,14.63,4.16
8.8e9,14.50,4.24
8.9e9,14.46,4.30
9.0e9,14.40,4.31
9.1e9,14.36,4.28
9.2e9,14.29,4.29
9.3e9,14.24,4.29
9.6e9,14.05,4.42
9.7e9,13.99,4.42
9.8e9,13.89,4.43
9.9e9,13.90,4.45
10.0e9,13.87,4.44
10.5e9,13.59,4.61
11.0e9,13.37,4.75
11.5e9,13.18,4.79
12.0e9,13.00,4.91
12.5e9,12.89,5.01
13.0e9,12.79,5.17
13.5e9,12.76,5.22
14.0e9,12.86,5.25
14.5e9,13.04,5.26
15.0e9,13.33,5.35
15.5e9,13.54,5.23
16.0e9,13.70,5.26
16.5e9,13.75,5.29
17.0e9,13.56,5.33
17.5e9,13.15,5.63
18.0e9,12.62,5.93
