Hz,Gain_dB,NF_dB
5.0e9,11.97,8.11
5.2e9,12.42,7.41
5.4e9,12.80,6.89
5.6e9,13.06,6.43
5.8e9,13.27,6.17
6.0e9,13.42,5.92
6.2e9,13.55,5.70
6.4e9,13.65,5.53
6.6e9,13.72,5.43
6.8e9,13.79,5.31
7.0e9,13.84,5.78
7.2e9,13.86,5.21
7.4e9,13.88,5.13
7.6e9,13.88,5.06
7.8e9,13.87,5.05
8.0e9,13.83,5.05
8.2e9,13.77,5.08
8.3e9,13.75,5.07
8.4e9,13.72,5.06
8.8e9,13.53,5.17
8.9e9,13.48,5.22
9.0e9,13.42,5.24
9.1e9,13.36,5.21
9.2e9,13.29,5.20
9.3e9,13.23,5.26
9.6e9,13.04,5.36
9.7e9,12.96,5.38
9.8e9,12.90,5.43
9.9e9,12.86,5.37
10.0e9,12.83,5.38
10.5e9,12.50,5.57
11.0e9,12.23,5.68
11.5e9,12.00,5.79
12.0e9,11.78,5.93
12.5e9,11.61,6.04
13.0e9,11.46,6.21
13.5e9,11.41,6.31
14.0e9,11.48,6.36
14.5e9,11.65,6.42
15.0e9,11.94,6.47
15.5e9,12.14,6.38
16.0e9,12.25,6.36
16.5e9,12.30,6.40
17.0e9,12.09,6.52
17.5e9,11.63,6.79
18.0e9,11.10,7.11
