Hz,Gain_dB,NF_dB
10e6,12.63,4.21
50e6,12.75,3.99
100e6,12.73,3.89
200e6,12.61,3.94
300e6,12.63,4.00
400e6,12.75,3.89
500e6,12.57,3.90
600e6,12.48,3.95
700e6,12.61,3.93
800e6,12.41,3.94
900e6,12.47,3.99
1000e6,12.34,3.99
1500e6,12.24,4.17
2000e6,12.05,4.16
2500e6,12.01,4.16
3000e6,12.04,4.21
3500e6,12.14,4.19
4000e6,12.27,4.18
4500e6,12.36,4.05
5000e6,12.57,3.96
5500e6,12.83,3.96
6000e6,13.01,3.87
6500e6,13.03,3.88
7000e6,12.98,3.98
7500e6,12.91,4.02
8000e6,12.81,4.06
8500e6,12.70,3.98
9000e6,12.54,4.13
9500e6,12.45,4.10
10000e6,12.39,4.09
10500e6,12.33,4.03
11000e6,12.22,4.00
11500e6,12.17,3.99
12000e6,12.14,3.94
12500e6,11.98,3.92
13000e6,11.58,4.07
13500e6,10.91,4.23
14000e6,10.35,4.33
14500e6,9.90,4.44
15000e6,9.78,4.59
15500e6,9.54,4.67
16000e6,9.26,4.75
16500e6,8.97,4.77
17000e6,8.77,4.54
17500e6,8.34,4.45
18000e6,7.61,4.56
