Hz,Gain_dB,NF_dB
10e6,15.82,5.87
50e6,15.97,5.77
100e6,15.98,5.59
200e6,15.73,5.62
300e6,15.74,5.58
400e6,15.89,5.59
500e6,15.81,5.70
600e6,15.71,5.70
700e6,15.78,5.69
800e6,15.70,5.72
900e6,15.63,5.76
1000e6,15.63,5.74
1500e6,15.41,5.93
2000e6,15.27,5.98
2500e6,15.10,5.99
3000e6,14.92,6.05
3500e6,14.73,6.14
4000e6,14.58,6.12
4500e6,14.49,6.00
5000e6,14.38,5.90
5500e6,14.24,5.88
6000e6,14.09,5.87
6500e6,13.95,5.91
7000e6,13.84,6.03
7500e6,13.71,6.11
8000e6,13.50,6.30
8500e6,13.22,6.27
9000e6,12.89,6.43
9500e6,12.58,6.41
10000e6,12.25,6.46
10500e6,11.92,6.47
11000e6,11.62,6.45
11500e6,11.31,6.42
12000e6,10.91,6.42
12500e6,10.29,6.53
13000e6,9.56,6.72
13500e6,8.92,6.84
14000e6,8.43,7.04
14500e6,8.01,7.27
15000e6,7.62,7.53
15500e6,7.19,7.86
16000e6,6.88,7.81
16500e6,6.59,7.70
17000e6,6.15,7.52
17500e6,5.68,7.93
18000e6,5.16,8.37
