Hz,Gain_dB,NF_dB
10e6,15.30,5.15
50e6,15.45,4.87
100e6,15.46,4.67
200e6,15.28,4.70
300e6,15.26,4.81
400e6,15.40,4.70
500e6,15.29,4.79
600e6,15.18,4.81
700e6,15.30,4.82
800e6,15.18,4.81
900e6,15.18,4.82
1000e6,15.13,4.81
1500e6,14.96,5.00
2000e6,14.83,5.05
2500e6,14.75,5.07
3000e6,14.71,5.11
3500e6,14.70,5.12
4000e6,14.68,5.09
4500e6,14.69,5.02
5000e6,14.71,4.91
5500e6,14.71,4.91
6000e6,14.64,4.87
6500e6,14.55,4.86
7000e6,14.47,4.98
7500e6,14.39,5.05
8000e6,14.29,5.14
8500e6,14.20,5.14
9000e6,14.05,5.30
9500e6,13.92,5.29
10000e6,13.80,5.27
10500e6,13.68,5.24
11000e6,13.55,5.21
11500e6,13.43,5.19
12000e6,13.27,5.19
12500e6,12.92,5.26
13000e6,12.46,5.42
13500e6,11.86,5.57
14000e6,11.20,5.67
14500e6,10.63,5.84
15000e6,10.22,6.08
15500e6,9.80,6.26
16000e6,9.37,6.24
16500e6,9.02,6.20
17000e6,8.50,6.06
17500e6,7.97,6.13
18000e6,7.47,6.33
