Hz,Gain_dB,NF_dB
5.0e9,14.98,6.16
5.2e9,15.36,5.49
5.4e9,15.66,4.99
5.6e9,15.87,4.63
5.8e9,16.02,4.31
6.0e9,16.15,4.13
6.2e9,16.25,3.90
6.4e9,16.35,3.75
6.6e9,16.42,3.63
6.8e9,16.47,3.55
7.0e9,16.54,3.43
7.2e9,16.57,3.42
7.4e9,16.61,3.32
7.6e9,16.64,3.30
7.8e9,16.65,3.25
8.0e9,16.66,3.26
8.2e9,16.63,3.24
8.3e9,16.64,3.22
8.4e9,16.61,3.20
8.8e9,16.50,3.25
8.9e9,16.50,3.31
9.0e9,16.44,3.35
9.1e9,16.43,3.31
9.2e9,16.36,3.33
9.3e9,16.34,3.32
9.6e9,16.19,3.41
9.7e9,16.13,3.44
9.8e9,16.08,3.44
9.9e9,16.08,3.45
10.0e9,16.07,3.43
10.5e9,15.83,3.57
11.0e9,15.74,3.66
11.5e9,15.60,3.72
12.0e9,15.53,3.83
12.5e9,15.51,3.89
13.0e9,15.52,4.00
13.5e9,15.60,4.06
14.0e9,15.73,4.05
14.5e9,15.97,4.10
15.0e9,16.31,4.17
15.5e9,16.59,4.12
16.0e9,16.92,4.06
16.5e9,17.13,4.12
17.0e9,17.16,4.10
17.5e9,16.93,4.34
18.0e9,16.48,4.61
