Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.4988735,-1.6623433,-62.828362,128.63646,-63.330082,-125.62453,-0.47918802,-1.3620182
20000000,-0.51970589,-2.3463416,-60.654087,57.31496,-66.314476,-127.26031,-0.47874847,-1.9826344
30000000,-0.5499168,-3.3648052,-57.155834,-16.715651,-70.237343,-150.32631,-0.48053247,-2.9385383
40000000,-0.58508432,-4.3232565,-56.880642,-38.52758,-62.536182,-111.5437,-0.4800334,-4.0286989
50000000,-0.60666931,-5.2717171,-53.817654,-42.216728,-61.986622,-98.551689,-0.48253053,-5.042387
60000000,-0.62044549,-6.2000961,-51.024395,-41.884151,-60.855869,-14.252569,-0.48590621,-6.0551891
70000000,-0.62076956,-7.1194673,-45.675362,-40.34988,-66.511581,35.267338,-0.4927969,-6.9672842
80000000,-0.62735194,-8.057126,-43.631767,-40.242882,-67.871948,117.65224,-0.49456716,-7.9776773
90000000,-0.6331014,-8.9877329,-42.157253,-40.786869,-67.051437,111.76068,-0.49306831,-8.9821014
100000000,-0.64223731,-12.799217,-37.915821,-41.541336,-67.719002,136.46333,-0.49579164,-13.021805
200000000,-0.65277612,-19.52783,-31.837864,-44.24596,-66.793228,116.88686,-0.49979433,-20.048635
300000000,-0.66895431,-29.20956,-24.633827,-50.524597,-65.519241,139.94801,-0.50761843,-30.119732
400000000,-0.68841797,-39.033901,-19.524609,-59.344101,-61.8078,148.02782,-0.51894045,-40.193855
500000000,-0.73739797,-49.144142,-15.39709,-71.369652,-55.884605,144.57579,-0.53963542,-50.305134
600000000,-0.86209583,-58.672321,-13.011949,-84.751213,-52.034336,131.94864,-0.56309861,-60.379494
700000000,-0.943856,-68.11927,-10.962398,-94.919075,-49.208221,119.74152,-0.58990246,-70.50074
800000000,-1.0021147,-77.385002,-9.2991047,-102.88341,-47.127247,109.99736,-0.62144315,-80.673256
900000000,-1.0014379,-87.321732,-6.8409448,-110.23238,-44.458683,102.11716,-0.66231191,-90.935722
1000000000,-1.0669379,-97.370636,-4.7916622,-120.97105,-42.099037,91.515373,-0.71587735,-101.21729
1100000000,-1.1595471,-107.46259,-3.014358,-132.24374,-40.048813,80.931046,-0.77718413,-111.50565
1200000000,-1.2755767,-117.625,-1.4100097,-143.85107,-38.164501,69.212723,-0.85552222,-121.84666
1300000000,-1.4205104,-127.94225,0.071514957,-155.79729,-36.524807,57.58699,-0.95090538,-132.23232
1400000000,-1.6120584,-138.45247,1.4677329,-168.21202,-34.99638,44.968109,-1.0731497,-142.66545
1500000000,-1.8770484,-149.24127,2.8090503,178.62427,-33.566784,31.950375,-1.2330021,-153.09663
1600000000,-2.2961111,-160.37111,4.1207342,164.01399,-32.152412,17.573511,-1.4530445,-163.4458
1700000000,-3.1076915,-171.45032,5.3376136,146.13388,-30.905891,0.30196843,-1.768764,-173.23067
1800000000,-4.4707208,-176.35483,5.7186475,121.50127,-30.458479,-23.254217,-2.0367684,178.84389
1900000000,-4.6444979,-176.69235,3.1465304,103.07621,-32.845325,-40.457035,-1.924813,170.83322
2000000000,-4.0156679,-179.02113,1.3683035,102.7127,-34.434696,-40.899933,-1.658917,161.12999
2100000000,-2.7090566,171.61093,0.98831326,111.12222,-34.734531,-32.77364,-1.4459219,149.00786
2200000000,-2.4461026,157.53833,3.696909,114.84283,-32.074181,-29.516523,-1.6072593,136.54053
2300000000,-2.6012433,145.33382,5.6510029,103.92636,-30.156414,-39.517929,-1.8752446,124.95161
2400000000,-2.8644118,134.24077,6.909585,91.596008,-28.855133,-51.153667,-2.178802,113.75491
2500000000,-3.1730757,123.81013,7.8498487,79.21109,-27.86697,-62.757854,-2.5033514,102.76841
2600000000,-3.5166976,113.85324,8.6132832,66.964394,-27.055853,-74.33107,-2.8578024,91.932983
2700000000,-3.8879523,104.2289,9.2573538,54.82272,-26.368086,-85.762527,-3.2409148,81.194229
2800000000,-4.2837715,94.962967,9.8143024,42.783234,-25.795538,-96.925812,-3.661396,70.556175
2900000000,-4.6966686,85.994164,10.299397,30.79508,-25.301435,-108.25963,-4.1175394,60.003464
3000000000,-5.1318707,77.370003,10.723563,18.91165,-24.842094,-119.45512,-4.6134963,49.581909
3100000000,-5.5837531,69.032845,11.094991,7.090806,-24.43943,-130.55272,-5.1464286,39.285473
3200000000,-6.0501223,61.02499,11.416727,-4.6328158,-24.086119,-141.37128,-5.7241039,29.150545
3300000000,-6.5242219,53.391502,11.696335,-16.269705,-23.775002,-152.05562,-6.3420796,19.224691
3400000000,-7.000443,46.153877,11.938225,-27.773893,-23.504099,-162.68735,-7.0060062,9.5195255
3500000000,-7.4616961,39.282257,12.147858,-39.173748,-23.270674,-173.3847,-7.7025232,0.071679778
3600000000,-7.9069457,32.775162,12.327927,-50.459396,-23.073637,176.11087,-8.4454699,-9.1113987
3700000000,-8.3239403,26.561394,12.480844,-61.653461,-22.899664,165.76442,-9.2264547,-17.953947
3800000000,-8.7099152,20.664602,12.611034,-72.717003,-22.747519,155.67026,-10.056362,-26.425776
3900000000,-9.0574465,14.973974,12.718078,-83.670601,-22.618547,145.55746,-10.911457,-34.481697
4000000000,-9.3650904,9.5123081,12.805054,-94.494576,-22.51129,135.562,-11.795359,-42.108166
4100000000,-9.6319618,4.0875368,12.873286,-105.2147,-22.418304,125.80691,-12.695951,-49.284157
4200000000,-9.8517637,-1.3311617,12.92837,-115.82323,-22.329615,116.11652,-13.608608,-55.929676
4300000000,-10.030725,-6.8202181,12.971394,-126.32941,-22.261515,106.6199,-14.503167,-62.052822
4400000000,-10.176985,-12.442525,13.00299,-136.72594,-22.206615,97.016083,-15.383818,-67.612854
4500000000,-10.295043,-18.204334,13.02657,-147.0215,-22.168518,87.637009,-16.224535,-72.611885
4600000000,-10.392557,-24.189793,13.044188,-157.21684,-22.125528,78.276703,-16.99296,-77.11042
4700000000,-10.474694,-30.307251,13.055625,-167.32008,-22.087685,69.139771,-17.658733,-81.154755
4800000000,-10.555005,-36.657429,13.061795,-177.34976,-22.052444,60.00481,-18.221107,-84.979164
4900000000,-10.636119,-43.214561,13.063574,172.7065,-22.02482,50.890205,-18.704533,-88.743668
5000000000,-10.715392,-49.984203,13.064183,162.82669,-21.997139,41.931374,-19.095837,-92.494583
5100000000,-10.796181,-56.914124,13.06111,153.02708,-21.976694,33.141083,-19.384388,-96.620491
5200000000,-10.869533,-63.994495,13.055689,143.27446,-21.950163,24.381395,-19.582344,-100.99204
5300000000,-10.955467,-71.300743,13.047503,133.57793,-21.930334,15.571342,-19.688759,-105.95387
5400000000,-11.052951,-78.721336,13.036631,123.93871,-21.91205,6.8219833,-19.752995,-111.03663
5500000000,-11.157274,-86.259712,13.023801,114.3477,-21.902733,-1.9522939,-19.770954,-116.63934
5600000000,-11.267791,-93.896873,13.007057,104.81713,-21.893744,-10.643509,-19.793646,-122.54852
5700000000,-11.368046,-101.74623,12.992149,95.320778,-21.881413,-19.317791,-19.805819,-128.97527
5800000000,-11.480232,-109.69527,12.973714,85.865311,-21.878527,-27.820324,-19.816963,-135.76012
5900000000,-11.592273,-117.68504,12.955743,76.438736,-21.866827,-36.209702,-19.799461,-142.59276
6000000000,-11.706038,-125.69676,12.934576,67.048431,-21.862404,-44.673592,-19.74682,-149.67717
6100000000,-11.816278,-133.88493,12.910594,57.682285,-21.856524,-53.058601,-19.688717,-156.84131
6200000000,-11.924216,-142.13838,12.883503,48.350029,-21.856419,-61.52364,-19.634357,-164.39757
6300000000,-12.021511,-150.33672,12.854775,39.061565,-21.857983,-69.898895,-19.577976,-171.86012
6400000000,-12.096345,-158.40227,12.828503,29.822645,-21.845984,-78.199501,-19.493071,-179.3804
6500000000,-12.161683,-166.61223,12.801121,20.600124,-21.831198,-86.54319,-19.405548,173.2209
6600000000,-12.22476,-174.91902,12.772501,11.389568,-21.817186,-94.874283,-19.32024,165.69107
6700000000,-12.285553,176.70035,12.741035,2.1845753,-21.813299,-103.25706,-19.245811,158.25513
6800000000,-12.339537,168.51324,12.70628,-6.9959979,-21.827345,-111.56513,-19.171165,150.82167
6900000000,-12.379359,160.45891,12.667268,-16.142365,-21.840569,-119.83376,-19.101013,143.64003
7000000000,-12.397188,152.44733,12.627196,-25.235712,-21.858816,-128.06354,-19.019079,136.74257
7100000000,-12.396336,144.45888,12.590149,-34.290718,-21.865528,-136.3223,-18.910295,129.9922
7200000000,-12.368905,136.53192,12.555205,-43.306114,-21.875652,-144.42067,-18.783989,123.17398
7300000000,-12.323839,128.61357,12.521591,-52.315784,-21.872234,-152.57991,-18.639042,116.26218
7400000000,-12.253951,120.77208,12.489326,-61.303802,-21.890997,-160.57416,-18.476227,109.34908
7500000000,-12.190437,112.83369,12.456555,-70.292397,-21.899996,-168.74866,-18.306084,102.37096
7600000000,-12.132176,104.96339,12.423739,-79.267464,-21.919018,-176.75737,-18.144709,95.354309
7700000000,-12.05945,97.145645,12.387943,-88.208221,-21.908775,175.09489,-17.972807,88.28038
7800000000,-11.983226,89.38308,12.352218,-97.145393,-21.904343,167.10564,-17.812914,81.137909
7900000000,-11.911686,81.67128,12.316144,-106.05413,-21.902611,159.03223,-17.661581,73.969894
8000000000,-11.860765,73.995651,12.27874,-114.95757,-21.914635,151.0224,-17.5623,66.694923
8100000000,-11.791417,66.344772,12.240054,-123.83204,-21.916462,143.01443,-17.449076,59.468143
8200000000,-11.729886,58.820114,12.198698,-132.68922,-21.920877,134.93199,-17.339523,52.073982
8300000000,-11.66135,51.328362,12.158395,-141.50771,-21.922163,126.95457,-17.224482,44.762516
8400000000,-11.610317,43.824642,12.121074,-150.30785,-21.949986,118.88693,-17.119707,37.390129
8500000000,-11.554134,36.321724,12.085487,-159.09999,-21.963688,110.97504,-17.003752,29.889601
8600000000,-11.500405,28.761848,12.051362,-167.89133,-21.985767,103.01409,-16.894476,22.114887
8700000000,-11.452326,21.271955,12.016303,-176.67834,-21.987535,95.087677,-16.789154,14.018234
8800000000,-11.408362,13.696724,11.979742,174.55087,-22.004179,87.168358,-16.688168,5.8988562
8900000000,-11.375172,6.0903506,11.941676,165.77043,-22.01483,79.249229,-16.575232,-2.4796116
9000000000,-11.351867,-1.5495483,11.901975,157.00139,-22.038345,71.420662,-16.463287,-10.995656
9100000000,-11.334644,-9.1895161,11.862911,148.2471,-22.048908,63.588394,-16.382547,-19.623676
9200000000,-11.310322,-16.803871,11.82431,139.49069,-22.052975,55.615559,-16.290751,-28.388714
9300000000,-11.284565,-24.479347,11.785686,130.73271,-22.059458,47.697781,-16.183336,-37.145584
9400000000,-11.260649,-32.213959,11.746085,121.95348,-22.0697,39.738827,-16.052906,-46.278412
9500000000,-11.252234,-39.990677,11.702749,113.18521,-22.085655,31.982456,-15.925154,-55.540531
9600000000,-11.237299,-47.755489,11.654956,104.41481,-22.087053,24.139664,-15.788853,-64.968727
9700000000,-11.229208,-55.550117,11.603775,95.663284,-22.09104,16.239023,-15.630639,-74.398735
9800000000,-11.215458,-63.376389,11.553577,86.918159,-22.10367,8.235487,-15.469422,-83.824646
9900000000,-11.204087,-71.212624,11.498711,78.182175,-22.121975,0.24954475,-15.313687,-93.26416
10000000000,-11.177691,-79.016411,11.441985,69.471283,-22.166515,-7.7595348,-15.152946,-102.61224
10100000000,-11.135945,-86.853851,11.381831,60.764015,-22.202768,-15.654802,-14.970176,-111.99469
10200000000,-11.086972,-94.746796,11.321384,52.071777,-22.239298,-23.517744,-14.768911,-121.38435
10300000000,-11.032445,-102.70064,11.254827,43.368019,-22.284534,-31.256441,-14.567186,-130.8432
