Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10.0000,-3.619448E+001,7.837208E+001,-9.466740E-002,-4.993242E-001,-9.763774E-002,-5.114707E-001,-3.547315E+001,7.279776E+001
20.0000,-3.879885E+001,-9.053687E+000,-1.109507E-001,-6.445804E-001,-1.092481E-001,-6.473645E-001,-3.816153E+001,-7.157560E+000
30.0000,-5.013548E+001,-4.790438E-002,-1.036776E-001,-8.846596E-001,-1.033077E-001,-9.047826E-001,-4.765417E+001,-1.987199E+001
40.0000,-4.246978E+001,5.540681E+001,-1.088132E-001,-1.176880E+000,-1.092905E-001,-1.190082E+000,-4.469413E+001,4.868093E+001
50.0000,-3.984561E+001,2.852088E+001,-1.132501E-001,-1.386265E+000,-1.096324E-001,-1.440357E+000,-4.057716E+001,3.902432E+001
100.0000,-3.946761E+001,1.429999E+001,-1.374397E-001,-2.673764E+000,-1.383306E-001,-2.677032E+000,-3.863954E+001,2.213246E+001
150.0000,-3.891941E+001,5.266092E+000,-1.586174E-001,-3.876923E+000,-1.571590E-001,-3.886368E+000,-3.785570E+001,9.962998E+000
200.0000,-3.823411E+001,-2.806866E+000,-1.775377E-001,-5.049885E+000,-1.755864E-001,-5.051661E+000,-3.697447E+001,-1.628935E+000
250.0000,-3.732019E+001,-1.181827E+001,-1.920304E-001,-6.201691E+000,-1.925206E-001,-6.196171E+000,-3.603254E+001,-1.219235E+001
300.0000,-3.627183E+001,-2.218225E+001,-2.061307E-001,-7.324821E+000,-2.070483E-001,-7.327495E+000,-3.502548E+001,-2.116877E+001
350.0000,-3.534947E+001,-3.038810E+001,-2.201107E-001,-8.444088E+000,-2.198337E-001,-8.445683E+000,-3.414964E+001,-2.740824E+001
400.0000,-3.455608E+001,-3.908152E+001,-2.318566E-001,-9.558588E+000,-2.324015E-001,-9.556510E+000,-3.324510E+001,-3.338827E+001
450.0000,-3.396400E+001,-4.527109E+001,-2.429050E-001,-1.066329E+001,-2.434783E-001,-1.065794E+001,-3.263428E+001,-3.694528E+001
500.0000,-3.333598E+001,-5.084205E+001,-2.529771E-001,-1.176369E+001,-2.529181E-001,-1.175999E+001,-3.191737E+001,-4.183950E+001
550.0000,-3.297788E+001,-5.510704E+001,-2.619314E-001,-1.286315E+001,-2.606804E-001,-1.285785E+001,-3.134713E+001,-4.455725E+001
600.0000,-3.228704E+001,-5.970599E+001,-2.699732E-001,-1.395928E+001,-2.694371E-001,-1.395939E+001,-3.083388E+001,-4.897102E+001
650.0000,-3.179533E+001,-6.569849E+001,-2.781982E-001,-1.505035E+001,-2.783184E-001,-1.505290E+001,-3.013175E+001,-5.235944E+001
