Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-18.2277900,-19.9920500,15.4761600,-177.9709000,-18.8359600,3.0941420,-15.2155000,27.8668800
20000000,-19.2496600,-13.2267200,15.5873600,179.0526000,-18.7655700,-0.6386979,-15.6358000,10.7681100
30000000,-19.3926500,-10.4550900,15.6179600,177.0747000,-18.7626300,-2.6051120,-15.6925900,4.1790280
40000000,-19.4654900,-9.4799030,15.6237200,175.3947000,-18.7775500,-4.2127920,-15.7006600,0.0284683
50000000,-19.6315600,-8.3933060,15.5886300,174.2992000,-18.8217000,-5.1516150,-15.7901000,-2.5928980
60000000,-19.7565700,-8.2694870,15.5879900,172.8437000,-18.8204600,-6.4825810,-15.9206800,-5.2972780
70000000,-19.7965300,-7.9528560,15.5923200,171.4163000,-18.8199000,-7.7878390,-15.9389600,-7.5610180
80000000,-19.9150500,-8.2683870,15.5946300,170.0368000,-18.8185500,-9.0040370,-15.9797800,-9.7532920
90000000,-19.9712100,-8.3531340,15.5962600,168.6204000,-18.8190200,-10.3029400,-16.0168600,-12.0415500
100000000,-20.0488800,-8.6614580,15.5933400,167.2807000,-18.8216000,-11.5355200,-16.0887900,-14.1106700
100000000,-20.0289900,-8.6431850,15.5940800,167.2804000,-18.8226100,-11.5300000,-16.0808700,-14.0424100
150000000,-20.2836600,-9.5883350,15.5837900,160.3830000,-18.8262900,-17.7808000,-16.2954400,-25.4354000
200000000,-18.8067000,-11.9718000,15.3247200,153.2124000,-19.0799700,-24.3747900,-17.8744200,-44.0535000
250000000,-19.9441400,-19.8038500,15.5150900,147.9631000,-18.8932300,-29.0077600,-16.5879000,-38.9099400
300000000,-18.5768800,-25.3272500,15.3273000,141.3264000,-19.0735600,-35.0185600,-17.3294200,-51.5638400
350000000,-19.1151000,-32.3059300,15.4786200,135.6532000,-18.9250500,-40.1216400,-16.0243200,-50.0071100
400000000,-18.4592800,-34.7428200,15.4700100,128.8047000,-18.9327400,-46.3860400,-15.3867600,-59.7888100
450000000,-17.6428400,-40.5005000,15.3489400,122.2228000,-19.0473800,-52.3522000,-15.5698400,-69.4642900
500000000,-17.6620800,-47.4640500,15.3752400,116.4999000,-19.0230700,-57.4705000,-15.3740100,-71.3503500
550000000,-17.1015100,-51.7345700,15.3291100,109.7988000,-19.0702200,-63.5597000,-15.1095700,-80.5707900
600000000,-16.9583900,-60.0292900,15.2705500,104.2404000,-19.1215600,-68.4982600,-15.4818000,-83.8223300
650000000,-16.9864600,-63.5032600,15.3409600,97.8523100,-19.0491000,-74.2702600,-14.7274800,-88.9445000
700000000,-16.5344400,-67.8267700,15.3187400,91.2204500,-19.0672100,-80.3140600,-14.2876300,-96.9586600
750000000,-16.1031400,-74.2223700,15.2307300,84.9497000,-19.1495000,-86.0060000,-14.3801000,-104.6903000
800000000,-16.0154800,-80.7766600,15.2355500,79.0771400,-19.1405300,-91.2960000,-14.2005400,-108.1945000
850000000,-15.7160900,-85.8540600,15.2345000,72.5752400,-19.1378600,-97.1578200,-13.7371600,-114.4810000
900000000,-15.2754400,-92.4610400,15.1610300,66.2258100,-19.2053300,-102.9402000,-13.6018200,-121.7254000
950000000,-15.0999300,-99.6774200,15.1146000,60.4187500,-19.2471000,-108.1479000,-13.7227400,-126.1787000
1000000000,-15.0333900,-105.0643000,15.1480700,54.3192800,-19.2048100,-113.6557000,-13.2959500,-129.8771000
1050000000,-14.7342800,-110.5471000,15.1378300,47.8801700,-19.2109200,-119.4779000,-12.9161200,-135.7790000
1100000000,-14.4374700,-116.9909000,15.0798900,41.5918900,-19.2630900,-125.1982000,-12.7835800,-142.3424000
1150000000,-14.3179900,-123.8106000,15.0455000,35.6119200,-19.2894400,-130.5863000,-12.7775300,-147.0538000
1200000000,-14.1714600,-129.5246000,15.0526500,29.4855200,-19.2834200,-136.1487000,-12.5130000,-151.7522000
1250000000,-13.9684300,-135.7420000,15.0249400,23.1536200,-19.2981200,-141.8619000,-12.2552600,-157.5185000
1300000000,-13.7451400,-142.2285000,14.9741000,17.0194200,-19.3465600,-147.4118000,-12.2193300,-163.3219000
1350000000,-13.6874600,-148.6134000,14.9562300,11.0803800,-19.3555800,-152.8218000,-12.1460000,-167.8522000
1400000000,-13.5626900,-154.5820000,14.9561600,4.9056360,-19.3504000,-158.4342000,-11.9288700,-172.6085000
1450000000,-13.4118100,-160.6573000,14.9276500,-1.3917730,-19.3692000,-164.0791000,-11.7483800,-178.2786000
1500000000,-13.2994100,-167.2263000,14.8877800,-7.5145440,-19.4033400,-169.5437000,-11.7154400,176.4258000
1550000000,-13.2481000,-173.7365000,14.8694300,-13.5445500,-19.4119600,-175.0203000,-11.6482900,171.8010000
