Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0589046,-0.3588521,-49.4269600,-18.8868999,-69.0354691,3.2565870,-0.0600710,-0.3076602
20000000,-0.0900554,-0.6213036,-68.0245972,34.8550987,-84.2587891,-24.5907001,-0.0656269,-0.7935878
30000000,-0.0682912,-1.0377990,-59.8093910,-119.8423004,-88.5718384,42.1935806,-0.0660197,-1.0981510
40000000,-0.0650541,-1.2866000,-61.0712204,-150.9476929,-96.5062103,83.0930862,-0.0554501,-1.3795030
50000000,-0.0468590,-2.4132459,-65.0812531,44.7546616,-67.0359116,144.8887024,-0.0353105,-1.8724970
100000000,-0.1293136,-3.3232279,-56.8111191,-177.6954041,-81.1046219,86.1390610,-0.0401336,-3.9905879
150000000,-0.1428961,-4.8398008,-49.2356606,-177.1047058,-89.0089035,58.5123482,-0.0441713,-6.1758208
200000000,-0.1494821,-6.5122380,-46.2446098,175.2559052,-81.3757019,91.0720062,-0.0508154,-8.3052101
250000000,-0.1613615,-8.1216030,-42.4452896,-179.0605011,-78.6577377,89.2476883,-0.0600378,-10.6572304
300000000,-0.1844130,-9.7295389,-39.0338287,-176.8905029,-78.6887436,81.6546478,-0.0705712,-12.8341198
350000000,-0.1907902,-11.3900003,-36.1837311,-176.8157043,-77.7855835,85.8940277,-0.0870444,-15.1090202
400000000,-0.1785650,-12.8693304,-33.7996788,-173.4178009,-76.1927032,81.2389832,-0.1008383,-17.2145309
450000000,-0.1826918,-14.4161997,-31.2310295,-172.3847961,-74.5544815,70.6781235,-0.1235054,-19.4374294
500000000,-0.1898239,-15.8907003,-28.8360405,-171.7487030,-74.8764267,69.9680862,-0.1430322,-21.5402298
550000000,-0.1995839,-17.4117508,-26.6759396,-172.7223969,-74.4834671,67.9377365,-0.1682997,-23.7589207
600000000,-0.2077409,-18.9242992,-24.5445499,-173.5274048,-74.3273468,71.6795502,-0.2047710,-26.0499306
650000000,-0.2167218,-20.5518303,-22.5384293,-174.8737946,-73.3556137,68.5534973,-0.2398423,-28.4397907
700000000,-0.2262842,-22.1506901,-20.6046906,-176.8314972,-73.2070618,64.3402634,-0.2918202,-30.9015408
750000000,-0.2322046,-23.8383808,-18.7515106,179.7976990,-73.0394669,75.3664093,-0.3549600,-33.3581314
800000000,-0.2449053,-25.4430504,-17.4166393,174.8789063,-73.8117523,88.7515030,-0.4181452,-35.7092018
850000000,-0.2550690,-27.0242500,-16.3215904,170.9835052,-69.9533768,83.1510468,-0.4663565,-37.8871307
900000000,-0.2626809,-28.7121105,-15.4761801,172.2490997,-68.9986801,62.9197311,-0.4817182,-40.2697182
950000000,-0.2692315,-30.2133007,-13.8181896,171.7433014,-70.1842575,60.5454292,-0.5515881,-42.7230110
1000000000,-0.2878458,-31.7332096,-12.2735596,169.4530945,-70.9259033,58.5350990,-0.6332334,-45.1536217
1050000000,-0.2980693,-33.2373390,-10.8866596,166.5856934,-71.6299362,62.0525513,-0.7297865,-47.5791092
1100000000,-0.3135380,-34.8144188,-9.5208130,163.6293945,-72.4860229,65.0209122,-0.8382019,-50.1255302
1150000000,-0.3286404,-36.4688301,-8.2217417,159.5868988,-72.8367767,71.9310532,-0.9672685,-52.7385216
1200000000,-0.3422616,-38.0895500,-6.9940672,155.6194000,-72.2692566,77.7945633,-1.1103500,-55.3995895
1250000000,-0.3668361,-39.8596191,-5.8192258,151.3424072,-71.9487228,87.2412491,-1.2752939,-58.1711807
1300000000,-0.3760292,-41.5296707,-4.6867919,146.8356934,-70.3505096,93.7763901,-1.4457060,-60.8346786
1350000000,-0.3980778,-43.2230110,-3.5968010,141.7982941,-69.6764297,99.7584610,-1.6392460,-63.4879684
1400000000,-0.4278573,-44.8150482,-2.5868590,136.8560028,-68.1252289,99.8853531,-1.8532250,-66.0084610
1450000000,-0.4448740,-46.4502907,-1.5895510,131.6712036,-66.3355865,101.9925995,-2.0857749,-68.4665833
1500000000,-0.4620023,-48.0014992,-0.6202280,125.9161987,-65.0324020,101.7582016,-2.3320689,-70.8308716
1550000000,-0.4869130,-49.6250496,0.2704131,120.0117035,-63.2559090,98.9141998,-2.6061471,-73.2111893
1600000000,-0.5203316,-51.4215393,1.1279920,113.7257996,-61.7722092,94.8980331,-2.8979609,-75.4922409
1650000000,-0.5474410,-53.1872902,1.9401510,107.0615997,-60.3875809,90.2688980,-3.1963000,-77.8225784
1700000000,-0.5867184,-54.9873695,2.6570470,100.0385971,-58.8758316,83.3756180,-3.5068560,-80.1044006
1750000000,-0.6270853,-56.6944389,3.3139579,92.7911835,-57.4781418,75.7552414,-3.8126521,-82.4735794
1800000000,-0.6600329,-58.4402390,3.9197299,85.2482529,-56.2064209,67.5989532,-4.1367850,-84.8912735
1850000000,-0.7006913,-60.0365486,4.4567308,77.3166885,-54.8731308,57.7984581,-4.4829640,-87.5295334
1900000000,-0.7413577,-61.6284294,4.9155269,69.1380615,-53.5743294,49.4281807,-4.8963242,-90.5148697
1950000000,-0.7899008,-63.2808304,5.3021121,60.4442902,-52.2686386,37.8873901,-5.3953991,-93.9487762
2000000000,-0.8472433,-64.8644409,5.6002731,51.1109314,-50.9328194,25.2714806,-6.1169610,-97.9061890
2050000000,-0.9015890,-66.5746536,5.7489042,41.0015182,-49.6735992,11.1639996,-7.1498222,-101.8199005
2100000000,-0.9859609,-68.2287598,5.6713352,30.6799202,-48.6120300,-2.0793660,-8.6492510,-105.3974991
2150000000,-1.0637660,-69.8364716,5.3968992,19.6585808,-47.3369102,-18.4048595,-11.0347300,-106.1611023
