Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0115608,-0.7596239,-51.3976593,85.7752838,-68.7911530,-76.0027618,-0.0594677,-0.3324690
20000000,-0.0828260,-0.5932814,-68.8271332,-131.7658997,-93.5499268,73.0157928,-0.0647072,-0.8522618
30000000,-0.0731457,-1.0590200,-70.6133728,74.7674332,-85.1686935,-31.9853497,-0.0683761,-1.1807890
40000000,-0.0658957,-1.4824330,-59.0114708,-73.5563736,-91.4652634,98.6459732,-0.0593389,-1.4554141
50000000,-0.1683307,-2.6077430,-62.2399712,-131.7127991,-66.6249237,70.8127823,-0.0363484,-1.9688430
100000000,-0.1296074,-3.7113371,-58.5549011,-154.0471039,-89.6098022,-10.2776499,-0.0362988,-4.1785831
150000000,-0.1321975,-5.1729579,-52.4450989,-173.7147980,-82.5894699,128.5028076,-0.0380317,-6.3656421
200000000,-0.1512323,-6.7480521,-47.1078300,179.6661987,-82.0412521,75.3832932,-0.0397155,-8.4218693
250000000,-0.1595483,-8.2732658,-43.0223618,-174.8072968,-78.0550079,74.3726501,-0.0457890,-10.6414604
300000000,-0.1779241,-9.6788216,-39.9876709,-172.6221008,-77.6087570,85.3544006,-0.0508856,-12.7390003
350000000,-0.1796431,-11.2422895,-36.6223488,-169.9971008,-77.6226501,85.5126801,-0.0653390,-14.9610996
400000000,-0.1725488,-12.8017502,-34.0717697,-168.7884064,-75.3320084,79.2959290,-0.0766589,-17.1430092
450000000,-0.1802045,-14.4498701,-31.3819408,-168.7781067,-76.9245987,72.0427017,-0.0981364,-19.4651299
500000000,-0.1807730,-16.0139599,-29.0473595,-168.3126068,-75.0897827,77.0272293,-0.1168381,-21.6986294
550000000,-0.1953241,-17.5865002,-26.8064499,-169.3094025,-74.3921432,71.1725616,-0.1409276,-23.9734497
600000000,-0.2007061,-19.1575394,-24.7089100,-170.1920013,-74.2573471,68.9049530,-0.1738840,-26.2675991
650000000,-0.2059835,-20.7450008,-22.7003994,-171.3605042,-73.4840317,75.8062210,-0.2052614,-28.6083202
700000000,-0.2121477,-22.3092308,-20.7884197,-173.2937012,-72.7235794,67.4483032,-0.2536685,-31.0147800
750000000,-0.2186617,-23.9116192,-18.7636395,-176.8079071,-73.1996536,76.5883865,-0.3161315,-33.4550095
800000000,-0.2316011,-25.5301495,-17.3925304,176.9010010,-73.3887711,83.1258774,-0.3872773,-35.7548904
850000000,-0.2381673,-27.1376591,-16.3580799,173.0767059,-69.2627029,77.4000320,-0.4285952,-37.9972382
900000000,-0.2439854,-28.8462391,-15.4393196,173.5774994,-68.8424835,67.4695435,-0.4507371,-40.4618492
950000000,-0.2481955,-30.4240608,-13.7944899,174.2079010,-70.5615311,60.6323090,-0.5090252,-43.1173096
1000000000,-0.2713883,-32.0569687,-12.2533102,171.8417053,-70.9222870,59.8694115,-0.5891871,-45.6734695
1050000000,-0.2770615,-33.6326294,-10.8653002,168.6981049,-71.4341736,58.6713905,-0.6852408,-48.2084084
1100000000,-0.2878076,-35.2407990,-9.5053062,165.7702026,-72.4548111,60.8279610,-0.7933927,-50.8340607
1150000000,-0.3021756,-36.9241409,-8.1900158,161.5585022,-72.7982864,65.1060562,-0.9195082,-53.4647293
1200000000,-0.3170326,-38.5652199,-6.9607430,157.5928955,-72.5634613,78.1524506,-1.0596670,-56.1438789
1250000000,-0.3359939,-40.3173103,-5.7687068,153.2935944,-71.8267670,85.5719070,-1.2233779,-58.9240417
1300000000,-0.3490168,-41.9891090,-4.6188731,148.7476959,-71.2791901,91.3843613,-1.3957970,-61.6339684
1350000000,-0.3665836,-43.7162209,-3.5275910,143.6472931,-69.7668304,99.7978592,-1.5926141,-64.3567429
1400000000,-0.3973897,-45.3883095,-2.5046790,138.6024933,-68.5053177,102.5242004,-1.8067600,-66.9821167
1450000000,-0.4164717,-47.1341896,-1.4944600,133.3119965,-66.5485229,103.5470963,-2.0371740,-69.5510406
1500000000,-0.4277653,-48.8034897,-0.5207114,127.4620972,-65.0412369,102.3134003,-2.2798951,-72.0325165
1550000000,-0.4535117,-50.4728317,0.3614664,121.5286026,-63.4552994,100.0668030,-2.5506411,-74.4929428
1600000000,-0.4820845,-52.3009987,1.2252860,115.2781982,-62.1184006,95.1995316,-2.8373361,-76.8072968
1650000000,-0.5076287,-54.0772095,2.0405109,108.6196976,-60.4834900,91.1560669,-3.1283629,-79.1269608
1700000000,-0.5430380,-55.8799515,2.7680950,101.6421967,-58.8955994,83.2094116,-3.4309101,-81.3916702
1750000000,-0.5810576,-57.5812912,3.4470310,94.4113693,-57.6534996,75.9592133,-3.7272871,-83.7500763
1800000000,-0.6191931,-59.3834686,4.0709181,86.8793716,-56.2571907,69.1541214,-4.0420432,-86.2085190
1850000000,-0.6600206,-61.0615501,4.6278529,78.9413528,-54.8285904,59.1109581,-4.3698969,-88.9328766
1900000000,-0.7024627,-62.8050804,5.1077180,70.7025604,-53.7489510,50.4080009,-4.7552781,-92.0453568
1950000000,-0.7446162,-64.6424026,5.5184908,61.9522781,-52.3187790,38.0454788,-5.2109728,-95.6407928
2000000000,-0.8012713,-66.3571472,5.8274279,52.6534004,-51.0231400,26.7172794,-5.8487620,-99.9168167
2050000000,-0.8484569,-68.1282196,6.0219622,42.6162605,-49.6093102,13.5937901,-6.7943940,-104.4615021
2100000000,-0.9325967,-69.8352280,5.9818139,32.0617409,-48.7408714,0.9796286,-8.1982670,-108.6465988
2150000000,-1.0013320,-71.4564133,5.7407579,21.3109608,-47.2636108,-16.4211693,-10.3332005,-111.9217987
2200000000,-1.0881630,-73.0087433,5.2412848,9.7800179,-46.7777786,-32.4270401,-14.0450001,-107.4833984
2250000000,-1.1505730,-74.3889771,4.2770882,-0.5711366,-46.1668510,-48.0149689,-17.5976601,-78.8256073
2300000000,-1.2234440,-75.8532562,3.1072750,-10.1228399,-45.7884789,-64.7403107,-15.4131298,-33.8993111
2350000000,-1.2778100,-77.2102585,1.5359530,-17.7227898,-45.8776207,-80.6629868,-10.8401899,-24.8386497
2400000000,-1.3198620,-78.7770081,-0.2094456,-22.0210209,-45.9029617,-94.0690613,-8.0911913,-27.2952805
2450000000,-1.3540320,-80.1820526,-1.9664030,-23.2060509,-46.2119598,-106.5802002,-6.1699209,-32.7824097
2500000000,-1.3915920,-81.8070602,-3.5658300,-21.1355591,-46.5870285,-116.9111023,-4.8701401,-39.3483505
2550000000,-1.4381080,-83.4239273,-4.7918949,-16.9272404,-46.7218590,-128.2185974,-3.9921310,-45.4566917
2600000000,-1.4759710,-85.0388718,-5.6383061,-12.0661898,-47.2184715,-135.8300018,-3.3402200,-51.3361702
2650000000,-1.5260630,-86.5317688,-6.1352611,-7.5106339,-47.7390404,-143.1239014,-2.8844359,-56.8954086
2700000000,-1.5675490,-88.1063080,-6.4241161,-4.1013622,-47.6620903,-149.2153931,-2.5288899,-61.9236717
2750000000,-1.6171581,-89.7862778,-6.6893730,-1.9104910,-48.1271706,-154.6824036,-2.2658811,-66.8004227
2800000000,-1.6776690,-91.3706665,-6.9769359,-0.0407978,-48.3113403,-162.2326965,-2.0607469,-71.1978531
2850000000,-1.7376810,-93.1175232,-7.2894969,1.1707290,-48.5990410,-166.5126038,-1.9091290,-75.6424026
2900000000,-1.8053050,-94.7782364,-7.7199349,2.1186199,-48.7234802,-169.1629028,-1.8029760,-79.6791000
2950000000,-1.8674690,-96.5864868,-8.2513475,3.3829279,-49.0750084,-174.5948029,-1.7232550,-83.6320724
3000000000,-1.9407930,-98.2360077,-8.8751688,5.3064318,-49.1606293,-175.6282959,-1.6795360,-87.4660263
3050000000,-2.0220981,-99.8589478,-9.6011782,7.9512801,-49.3410187,179.7628937,-1.6460620,-91.2219467
3100000000,-2.1111701,-101.5634995,-10.4215403,11.8609304,-49.3835106,177.1468048,-1.6477799,-94.9720306
3150000000,-2.2052720,-103.2538986,-11.2773304,17.3607903,-49.7788696,174.7819977,-1.6534240,-98.5202637
3200000000,-2.2941511,-105.1225967,-12.1177902,24.8786297,-49.6352005,173.6905975,-1.6879560,-102.1043015
3250000000,-2.3881860,-106.8938980,-12.8554497,34.9678116,-50.0071182,172.2796021,-1.7266250,-105.5092010
3300000000,-2.5003819,-108.8928986,-13.3583803,47.9257202,-50.0272903,172.1470947,-1.7706029,-108.9822006
3350000000,-2.6168301,-110.8643036,-13.3147097,63.1950798,-50.2179298,173.2541046,-1.8367870,-112.1959991
3400000000,-2.7491820,-113.0535965,-12.6559601,79.3001709,-50.1614304,174.9515991,-1.9054689,-115.4905014
