Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0254020,-0.5517052,-57.9351311,27.8656597,-72.5949173,107.2521973,-0.0593688,-0.3340591
20000000,-0.0921824,-0.5735402,-67.2305222,-14.4030304,-77.3690109,-145.2411957,-0.0634073,-0.8317056
30000000,-0.0754641,-1.0028811,-67.7133865,42.5200195,-92.2526627,57.0547905,-0.0643037,-1.1660980
40000000,-0.0680097,-1.4537460,-61.2598801,9.5224857,-94.7791290,77.2747726,-0.0526618,-1.4757180
50000000,-0.0991707,-2.7633491,-66.0510635,-113.7180023,-67.2925797,-34.1792908,-0.0365070,-1.9737530
100000000,-0.1279761,-3.6127410,-56.3905983,-169.9591980,-84.9411469,-168.3430023,-0.0380392,-4.1710639
150000000,-0.1381270,-5.0980959,-50.3569603,-174.8917999,-82.8662796,82.1065826,-0.0399918,-6.3476090
200000000,-0.1491659,-6.6816058,-46.1367912,-173.9566956,-82.4587173,81.5074768,-0.0430160,-8.4071064
250000000,-0.1579341,-8.1766710,-42.8594208,-174.1475067,-81.2287903,78.8292084,-0.0490030,-10.6189203
300000000,-0.1765881,-9.5799437,-39.4866714,-171.6869049,-76.8442001,83.5160828,-0.0558159,-12.6875000
350000000,-0.1855424,-11.1475601,-36.5836792,-171.3479004,-76.3922272,73.9589996,-0.0699743,-14.8957500
400000000,-0.1755463,-12.6842403,-33.8528290,-168.6970978,-76.9542694,78.0893173,-0.0833960,-17.0729408
450000000,-0.1775465,-14.3401699,-31.1958809,-168.7362976,-74.9503479,82.9926987,-0.1039378,-19.3872509
500000000,-0.1820003,-15.9212999,-28.8389301,-168.1078033,-75.0251465,74.7569199,-0.1232811,-21.6094704
550000000,-0.1975203,-17.5092106,-26.6228008,-168.9851990,-74.7426071,72.1808014,-0.1469971,-23.8795700
600000000,-0.2029115,-19.0651608,-24.4819908,-169.8932037,-74.3612518,70.9434967,-0.1801625,-26.1662102
650000000,-0.2102906,-20.6255894,-22.5441399,-171.1351013,-73.1968384,70.3183212,-0.2130053,-28.4941006
700000000,-0.2151491,-22.1879807,-20.4998493,-173.1437988,-72.7126770,66.5721970,-0.2616282,-30.8918705
750000000,-0.2210236,-23.7884598,-18.5277004,-176.6571960,-73.7621918,80.5472717,-0.3232338,-33.3039207
800000000,-0.2313567,-25.4149303,-17.1500702,176.9653931,-74.0422821,80.0974197,-0.3936032,-35.6049309
850000000,-0.2386098,-27.0163193,-16.1272202,173.3491058,-70.0678787,81.9452362,-0.4354627,-37.8349800
900000000,-0.2426509,-28.7149792,-15.2194004,173.8648071,-69.0977936,69.8438568,-0.4568755,-40.2949791
950000000,-0.2506624,-30.3047504,-13.5671797,174.4259949,-70.4066925,62.8756714,-0.5161279,-42.9306297
1000000000,-0.2700588,-31.9329605,-12.0379696,172.0001984,-71.2873764,57.2391014,-0.5966421,-45.4727211
1050000000,-0.2763893,-33.4654388,-10.6446505,168.9127045,-71.6895599,58.5173111,-0.6910057,-47.9804916
1100000000,-0.2892452,-35.0941696,-9.2808447,165.8630066,-72.1472321,65.6022873,-0.7984959,-50.5872002
1150000000,-0.3032360,-36.7730293,-7.9658351,161.7064056,-72.7956238,66.7762222,-0.9248406,-53.2219391
1200000000,-0.3176899,-38.3815498,-6.7364349,157.7919006,-72.7536087,78.6400681,-1.0654500,-55.8840714
1250000000,-0.3374775,-40.1717911,-5.5609279,153.4331970,-72.3839722,86.2796631,-1.2282079,-58.6582909
1300000000,-0.3512680,-41.8366814,-4.4193740,148.8589935,-71.1481323,92.1332626,-1.3987271,-61.3451385
1350000000,-0.3698585,-43.5665016,-3.3322320,143.7855072,-70.3425369,96.2010422,-1.5921130,-64.0531616
1400000000,-0.3949376,-45.2352600,-2.3109360,138.7687073,-68.6242371,100.5700989,-1.8064880,-66.6505814
1450000000,-0.4118855,-46.9525299,-1.3124180,133.4620056,-66.6729507,102.4801025,-2.0361741,-69.1972198
1500000000,-0.4261619,-48.5791893,-0.3493745,127.6477966,-65.3824234,101.3886032,-2.2785261,-71.6574783
1550000000,-0.4558862,-50.2871017,0.5370160,121.7248993,-63.5979385,98.4909897,-2.5449400,-74.1051636
1600000000,-0.4834720,-52.1250916,1.3905660,115.4825974,-62.0900383,95.5016632,-2.8282011,-76.3993530
1650000000,-0.5050246,-53.8643684,2.1984179,108.8869019,-60.5059395,90.7611008,-3.1163311,-78.7146606
1700000000,-0.5423312,-55.6923714,2.9218349,101.9434967,-59.1173897,84.5725632,-3.4153271,-80.9721375
1750000000,-0.5811433,-57.4295197,3.5873301,94.7601700,-57.7173004,76.4539032,-3.7118230,-83.3044815
1800000000,-0.6157421,-59.2115402,4.2039852,87.2891235,-56.3600197,68.5812225,-4.0221872,-85.7247925
1850000000,-0.6614505,-60.8805618,4.7519879,79.4409027,-55.0820198,59.4830589,-4.3464670,-88.4264526
1900000000,-0.7019033,-62.5819588,5.2314620,71.3092422,-53.9388199,50.7983704,-4.7265782,-91.5064011
1950000000,-0.7415143,-64.4245224,5.6332512,62.6335411,-52.3694191,38.3750000,-5.1747880,-95.0514832
2000000000,-0.7977337,-66.1298981,5.9431300,53.4699898,-51.1819687,26.9051304,-5.8015199,-99.2561111
2050000000,-0.8506153,-67.8945007,6.1360602,43.5450401,-49.7215500,14.0485601,-6.7226849,-103.7117996
2100000000,-0.9270874,-69.6348572,6.1023979,33.1143417,-48.8868408,1.0865999,-8.0833120,-107.8519974
2150000000,-0.9982782,-71.2378464,5.8753300,22.4573994,-47.4009018,-16.1193810,-10.1508102,-111.1014023
2200000000,-1.0871800,-72.7866592,5.3913121,11.0937796,-46.8616714,-31.4753799,-13.7138500,-107.3526993
2250000000,-1.1544980,-74.1575928,4.4525352,0.8126845,-46.2239799,-47.6580887,-17.3302994,-81.4633331
2300000000,-1.2208760,-75.6653366,3.3082089,-8.7798567,-45.8944397,-63.8476982,-15.6186800,-35.5474815
2350000000,-1.2771860,-77.0121384,1.7509561,-16.4409008,-45.8790398,-79.9758835,-11.0122404,-24.9545002
2400000000,-1.3156019,-78.5437317,0.0241386,-20.8059692,-45.9296989,-93.0762634,-8.1987000,-26.9986401
2450000000,-1.3533360,-79.9624329,-1.7306570,-22.0676003,-46.2285194,-106.0165024,-6.2322650,-32.3445091
2500000000,-1.3896520,-81.6050873,-3.3353930,-20.1380405,-46.6152306,-116.4257965,-4.9059248,-38.8752289
2550000000,-1.4353660,-83.2084274,-4.5607400,-15.9392099,-46.7561111,-127.5052032,-4.0138059,-44.9633904
2600000000,-1.4740310,-84.8280411,-5.4081392,-11.0323496,-47.1884995,-135.4084930,-3.3482931,-50.8447113
2650000000,-1.5256710,-86.3086700,-5.9099598,-6.5640731,-47.8077393,-142.7026062,-2.8854990,-56.4221382
2700000000,-1.5691950,-87.8821182,-6.2009301,-3.1912310,-47.6300583,-148.4346008,-2.5259149,-61.4694405
2750000000,-1.6170130,-89.5697937,-6.4706631,-0.9015487,-48.1013794,-153.8954010,-2.2632959,-66.3573227
2800000000,-1.6816220,-91.1393127,-6.7515130,0.8899339,-48.3419113,-161.7796021,-2.0570180,-70.7675934
2850000000,-1.7355690,-92.8699875,-7.0784650,2.0627320,-48.5998611,-166.1790009,-1.9028600,-75.2108002
