Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0136613,-0.6192445,-53.1882401,30.3068504,-72.6717072,-152.8045044,-0.0593568,-0.3793787
20000000,-0.0773647,-0.7574028,-64.0227737,29.6640205,-94.8448334,-161.8352051,-0.0656843,-0.9339566
30000000,-0.0694720,-1.1840250,-55.9184799,62.2660904,-88.0904312,17.3021908,-0.0670627,-1.2993840
40000000,-0.0621921,-1.6639481,-59.1783600,-44.9262390,-89.1796799,46.4310608,-0.0573596,-1.6238490
50000000,-0.1657413,-2.2044661,-72.0789871,-144.6183014,-66.9032822,15.5104103,-0.0357165,-2.1593411
100000000,-0.1226479,-4.0058541,-60.8368683,-176.5339050,-84.8203583,11.8933601,-0.0319760,-4.4561400
150000000,-0.1288643,-5.5425510,-54.0881882,165.8123932,-81.0204468,120.6966019,-0.0300529,-6.6084690
200000000,-0.1486876,-6.9776869,-47.1447487,-168.9799957,-79.5992126,82.7349472,-0.0288088,-8.5774364
250000000,-0.1588497,-8.4318438,-43.2478409,-166.4196014,-78.9445267,70.4514008,-0.0305886,-10.7483101
300000000,-0.1629124,-9.8381462,-39.8156204,-164.6076965,-76.2108002,79.3479385,-0.0312856,-12.8358498
350000000,-0.1705622,-11.4612303,-36.9979782,-164.6945953,-76.1939774,78.7614212,-0.0402912,-15.1343699
400000000,-0.1672095,-13.1248703,-33.9201584,-163.1029053,-76.3608627,70.1630173,-0.0496045,-17.3939800
450000000,-0.1738241,-14.8496704,-31.2299099,-163.1045074,-76.4664536,77.9382401,-0.0679239,-19.8291092
500000000,-0.1789317,-16.5458298,-28.7236900,-163.5099945,-75.2872162,73.3087234,-0.0838656,-22.1526909
550000000,-0.1812868,-18.2680893,-26.4842396,-164.6945038,-74.6438904,77.2356720,-0.1037245,-24.5294094
600000000,-0.1853286,-19.9103508,-24.3504105,-166.2489014,-74.0160828,71.4546509,-0.1322376,-26.8800697
650000000,-0.1905289,-21.5544491,-22.3571701,-167.6676941,-73.1636963,79.2338562,-0.1584231,-29.2568302
700000000,-0.1890952,-23.1336994,-20.3459492,-169.6015015,-73.6140671,66.7300034,-0.2005278,-31.6900692
750000000,-0.1929495,-24.7291603,-18.2697601,-172.7315979,-73.8762131,71.5380325,-0.2619213,-34.1841507
800000000,-0.2060535,-26.3281002,-16.9576607,178.7393036,-74.3495636,90.1887894,-0.3370890,-36.4371300
850000000,-0.2120904,-27.9563007,-16.0377502,176.1089935,-69.1123962,68.8846664,-0.3676937,-38.7954216
900000000,-0.2085330,-29.7269306,-15.1128902,177.4351044,-68.8439407,59.8264885,-0.3808125,-41.4497795
950000000,-0.2182342,-31.4792805,-13.3461599,176.8587952,-70.6002197,53.3334312,-0.4461811,-44.2428398
1000000000,-0.2370849,-33.3112411,-11.7668304,174.2032013,-71.3769684,58.0620003,-0.5253448,-46.9788284
1050000000,-0.2382984,-35.0741501,-10.3663197,170.6940002,-71.3751678,55.4810104,-0.6173489,-49.6334686
1100000000,-0.2506341,-36.8315506,-8.9914789,167.5175018,-72.6329498,61.1208000,-0.7237058,-52.3361092
1150000000,-0.2577483,-38.5724411,-7.6852479,163.2798004,-72.4336472,67.6958618,-0.8470188,-55.0090294
1200000000,-0.2712997,-40.1633682,-6.4784112,159.1618042,-73.1620102,73.5564270,-0.9864962,-57.7022705
