Hz,S11_A,S11_p,S21_A,S21_p,S12_A,S12_p,S22_A,S22_p
10000000,-0.0118115,-0.9295593,-50.5130196,61.6689911,-70.4553528,50.8872795,-0.0606315,-0.2971869
20000000,-0.0882393,-0.5876183,-69.2738037,143.4085999,-82.5111313,98.7001419,-0.0712556,-0.8135352
30000000,-0.0718347,-0.9458276,-74.0946884,-118.8492966,-87.5324173,106.1945038,-0.0754647,-1.0787300
40000000,-0.0683664,-1.3461900,-58.4665794,-133.8538055,-103.5542984,65.8665466,-0.0642871,-1.3080710
50000000,-0.1719952,-2.4314561,-64.7381668,-64.8842697,-67.4953232,-129.1495972,-0.0360661,-1.7922140
100000000,-0.1300863,-3.3659570,-58.9202003,-177.7630005,-82.4423370,125.2808990,-0.0393075,-3.9589820
150000000,-0.1351003,-4.9351902,-48.3254890,172.3119965,-85.5808182,64.2531586,-0.0427429,-6.1802950
200000000,-0.1518665,-6.5680108,-46.2885399,175.1199951,-81.5323563,85.9653931,-0.0492121,-8.3061094
250000000,-0.1638609,-8.2354174,-42.8712807,179.1255951,-79.5257416,111.2863007,-0.0583371,-10.6374197
300000000,-0.1801163,-9.6969929,-39.7746391,-177.7671051,-78.5752716,70.9109116,-0.0674926,-12.8014402
350000000,-0.1853751,-11.3318701,-36.6182404,-175.9429932,-77.4327698,69.1822586,-0.0846199,-15.0548601
400000000,-0.1768674,-12.8663902,-34.1164513,-173.7158966,-77.5470581,72.6739197,-0.0991580,-17.1644001
450000000,-0.1860010,-14.4594202,-31.6274605,-172.3316040,-74.7200470,72.2467880,-0.1203424,-19.4132900
500000000,-0.1870939,-15.9271402,-29.1483192,-172.7151947,-74.2425003,72.9480286,-0.1393215,-21.5322094
550000000,-0.2007235,-17.4119892,-27.0084095,-172.5218964,-74.4350662,72.0195236,-0.1652885,-23.7535896
600000000,-0.2130166,-18.9219608,-24.9403801,-173.5601044,-74.2160873,72.9581070,-0.2020555,-26.0287991
650000000,-0.2195036,-20.5025005,-23.0166397,-175.2530060,-73.1650772,72.9461594,-0.2383417,-28.4081802
700000000,-0.2275315,-22.1110001,-21.0514202,-176.5668030,-73.0510178,66.4173584,-0.2891353,-30.8620491
750000000,-0.2365224,-23.7856903,-19.1505203,179.9806061,-73.4367828,78.1127472,-0.3522884,-33.3306084
800000000,-0.2483870,-25.4431591,-17.7303905,175.1546021,-73.6012268,89.5176315,-0.4172367,-35.7122917
850000000,-0.2590837,-27.0539207,-16.6864796,171.3964996,-70.2934189,83.5595322,-0.4645478,-37.8996391
900000000,-0.2607763,-28.7144299,-15.8584805,172.4075928,-68.9913330,64.0762024,-0.4798521,-40.2685204
950000000,-0.2741481,-30.1812191,-14.1923800,171.9185028,-70.6698227,58.3685417,-0.5496846,-42.7055817
1000000000,-0.2952890,-31.6784897,-12.6504803,169.8105011,-71.0594330,60.0108185,-0.6304685,-45.1115112
1050000000,-0.3053176,-33.1263390,-11.2623301,167.0005035,-72.2011185,62.4794502,-0.7282352,-47.5274391
1100000000,-0.3177096,-34.6759491,-9.8849592,164.1248016,-72.4996338,61.8827515,-0.8396415,-50.0883484
1150000000,-0.3325463,-36.3347893,-8.5703926,160.0740967,-72.5721588,69.2540970,-0.9676988,-52.7212601
1200000000,-0.3490638,-37.9752083,-7.3338509,156.1009064,-72.8883896,80.7764664,-1.1118070,-55.4135399
1250000000,-0.3707075,-39.7793083,-6.1496801,151.8451996,-71.7695084,88.3340378,-1.2761840,-58.2195892
1300000000,-0.3875635,-41.4586487,-5.0079112,147.4058990,-71.2834473,90.4851837,-1.4471210,-60.8909607
1350000000,-0.4044454,-43.1485100,-3.9203999,142.3990021,-70.0932007,98.8461227,-1.6429271,-63.5516205
1400000000,-0.4354345,-44.7114792,-2.8994269,137.5285950,-68.2451935,102.1140976,-1.8602120,-66.0563965
1450000000,-0.4513024,-46.3015709,-1.8819320,132.3580933,-66.4594803,104.7631989,-2.0954080,-68.5194168
1500000000,-0.4670526,-47.7845917,-0.8986174,126.5923004,-65.0578384,103.8683014,-2.3453569,-70.8957367
1550000000,-0.4925189,-49.4242706,0.0038814,120.6843033,-63.1363297,100.1700974,-2.6237900,-73.3118134
1600000000,-0.5288393,-51.2206917,0.8830628,114.4198990,-61.7244492,96.4590836,-2.9214101,-75.6309204
1650000000,-0.5553469,-52.9947510,1.7134080,107.6725998,-60.2009888,91.7826767,-3.2235219,-77.9813385
1700000000,-0.5919498,-54.8012695,2.4405611,100.6029968,-58.6551590,84.8391495,-3.5389559,-80.2720795
1750000000,-0.6325593,-56.5596809,3.1131170,93.2994232,-57.3420601,77.3391876,-3.8461339,-82.6477737
1800000000,-0.6691763,-58.2917519,3.7324791,85.6801224,-56.0330391,69.6211472,-4.1728811,-85.0829697
1850000000,-0.7079177,-59.8465500,4.2813468,77.6823883,-54.6052399,59.6854286,-4.5202389,-87.7803268
1900000000,-0.7470056,-61.4121284,4.7559490,69.4016876,-53.4034500,50.5484886,-4.9379392,-90.8673935
1950000000,-0.7963374,-63.0308113,5.1595602,60.5906181,-52.0070190,39.3270798,-5.4428802,-94.4482269
2000000000,-0.8525442,-64.5903473,5.4698410,51.0760384,-50.6492004,26.1528206,-6.1808820,-98.6376877
2050000000,-0.9111949,-66.2885818,5.6285601,40.7532997,-49.3942108,11.5597801,-7.2567048,-102.8657990
2100000000,-0.9930681,-67.9543686,5.5507531,30.1966991,-48.3101807,-1.7482240,-8.8366814,-106.8420029
2150000000,-1.0756340,-69.5954666,5.2647800,18.8796597,-47.1300697,-18.5393295,-11.4368801,-107.8441010
2200000000,-1.1579030,-71.0879288,4.6058440,7.7374959,-46.6272583,-33.3864708,-15.1591101,-97.7681427
2250000000,-1.2146260,-72.4399109,3.6411190,-2.5511661,-46.0235291,-50.2382698,-17.6341095,-57.8292198
2300000000,-1.2861340,-73.8176422,2.3258059,-11.6387596,-45.9207382,-66.9021072,-13.6563301,-26.6546898
2350000000,-1.3311700,-75.0598068,0.7271023,-18.1415291,-45.9694595,-81.1072235,-9.9038744,-22.4135094
2400000000,-1.3682040,-76.4672394,-1.0066860,-21.8828297,-46.0512505,-94.9881897,-7.4424791,-25.9200191
2450000000,-1.4089880,-77.7813568,-2.7173300,-22.2846394,-46.3287697,-106.7578964,-5.7967801,-31.5631504
2500000000,-1.4491190,-79.3380127,-4.2180438,-19.7668591,-46.6926613,-117.1772003,-4.6659918,-37.8485603
2550000000,-1.5046620,-80.9166565,-5.3365111,-15.5422201,-46.8453102,-126.9909973,-3.8817389,-43.6772614
2600000000,-1.5492340,-82.5629501,-6.1279559,-10.9301901,-47.3240891,-134.8883972,-3.2962129,-49.4105606
2650000000,-1.6055150,-84.0566483,-6.5974212,-6.6705632,-47.8534508,-142.4524994,-2.8909709,-54.8238297
2700000000,-1.6441000,-85.6495514,-6.8955679,-3.4713590,-47.7935104,-148.2286072,-2.5669041,-59.7389107
2750000000,-1.6957721,-87.2910385,-7.1804070,-1.3173310,-48.2148590,-153.1372070,-2.3322010,-64.5140686
2800000000,-1.7592930,-88.7419586,-7.4994822,0.6058129,-48.3531914,-160.0276031,-2.1456399,-68.7634888
2850000000,-1.8177650,-90.3928223,-7.8328252,1.9785150,-48.6884995,-164.9591064,-2.0032189,-73.0965729
2900000000,-1.8893480,-91.9232635,-8.2699432,3.1394939,-48.7143402,-168.0101013,-1.9087870,-76.9981918
2950000000,-1.9594001,-93.6336594,-8.7988119,4.6975989,-49.1351509,-172.2474976,-1.8414040,-80.8504562
3000000000,-2.0470641,-95.3013763,-9.4106236,6.9550400,-49.4409904,-172.3005981,-1.8145649,-84.5943985
3050000000,-2.1363440,-96.9236526,-10.1174898,9.9142962,-49.3179588,-176.8930969,-1.7936960,-88.2650986
3100000000,-2.2344120,-98.7016373,-10.9096603,14.2292604,-49.3936806,-179.7998047,-1.8071311,-91.9974594
3150000000,-2.3350811,-100.3817978,-11.7044201,20.1480999,-49.7941284,177.9945068,-1.8210170,-95.5404129
3200000000,-2.4270301,-102.2511978,-12.4434404,28.0104504,-49.7055702,176.8878937,-1.8620270,-99.1395035
3250000000,-2.5234311,-103.9395981,-13.0592403,38.7132301,-49.9839287,175.9624939,-1.9086781,-102.4652023
3300000000,-2.6403060,-105.8489990,-13.3681803,51.6202812,-50.2518692,176.9781952,-1.9601160,-105.8836975
3350000000,-2.7728879,-107.6828995,-13.1061802,66.6031189,-49.9126511,177.3260040,-2.0319531,-108.9766998
3400000000,-2.9253881,-109.7963028,-12.2543001,81.5917435,-50.0565300,-178.3050995,-2.1073050,-112.2680969
3450000000,-3.1044230,-111.8089981,-10.6350298,95.4606628,-49.3415413,174.2646027,-2.2039919,-115.3929977
3500000000,-3.3044069,-113.9745026,-8.5243788,106.7110977,-49.7392807,178.6130981,-2.3015630,-118.4501038
3550000000,-3.5359631,-116.2285004,-5.9954081,113.5677032,-49.0527611,177.0261993,-2.4129350,-121.5288010
3600000000,-3.8012221,-118.4437027,-3.4042480,116.2195969,-48.9204407,176.9091949,-2.5031700,-124.5520020
3650000000,-4.1106491,-120.4945984,-0.8854401,114.8662033,-48.2752991,177.2411041,-2.6152830,-127.6904984
3700000000,-4.4522982,-122.0018997,1.3603491,110.1516037,-47.8257904,175.9617004,-2.7119341,-130.7494965
3750000000,-4.7932649,-122.9794998,3.1888180,102.8783035,-47.2957306,174.0639038,-2.8327999,-133.9423981
3800000000,-5.0565810,-123.5468979,4.5870008,94.7215729,-47.2366714,171.4273987,-2.9631391,-137.0153961
3850000000,-5.2619872,-123.9722977,5.6124101,86.6843033,-46.7985115,170.7877960,-3.1205070,-140.3206024
3900000000,-5.4195571,-124.6120987,6.3818140,79.0397720,-46.7016296,166.5717010,-3.2971931,-143.5140076
3950000000,-5.5785780,-125.5633011,6.9268560,72.1463318,-46.6634789,165.7279053,-3.4788449,-146.8466949
4000000000,-5.7185230,-126.9635010,7.3784451,66.1562805,-46.7182312,165.4839020,-3.6923890,-150.1636047
4025000000,-5.7961669,-127.7023010,7.5716891,63.2196198,-46.5830994,164.4568024,-3.8053889,-151.9387054
4050000000,-5.8632498,-128.5659027,7.7995729,60.7765198,-46.6273499,163.2326050,-3.8794529,-153.4246979
4075000000,-5.9377141,-129.3798065,7.9283328,58.3561516,-46.4038887,164.8285065,-4.0094309,-155.1280975
4100000000,-6.0078392,-130.1956024,8.1234064,55.7609711,-46.3975487,164.9055939,-4.0877781,-156.7261963
4125000000,-6.0959482,-130.9992981,8.2808752,53.5942307,-46.1575584,164.2299957,-4.1993208,-158.4949036
4150000000,-6.1645021,-131.8636932,8.3984346,51.2952690,-46.2989693,163.1497040,-4.2717428,-159.9192963
4175000000,-6.2574968,-132.6894073,8.5672636,49.0431595,-46.0698090,164.6775970,-4.3999529,-161.6423035
4200000000,-6.3517590,-133.5343933,8.7143097,47.3333206,-45.7125702,163.4680939,-4.4906230,-163.1976929
4225000000,-6.4566860,-134.3034058,8.8339252,45.0809212,-45.6357117,164.1833954,-4.6069360,-164.8316956
4250000000,-6.5442500,-135.0599976,8.9942799,42.9897499,-45.6601181,162.9535980,-4.7011261,-166.3112946
4275000000,-6.6693120,-135.8992004,9.1284723,41.2969398,-45.6055984,162.2126007,-4.8377829,-167.8710938
4300000000,-6.8035812,-136.6809998,9.2499676,39.2396889,-45.3973885,162.5388031,-4.9265580,-169.4703979
4325000000,-6.9258270,-137.5722046,9.3946848,37.4280281,-45.2734909,163.4434967,-5.0587130,-170.9689941
4350000000,-7.0875378,-138.2646942,9.4984779,35.7491493,-44.8088188,163.6931000,-5.1567249,-172.4969940
4375000000,-7.2223868,-139.1269073,9.6250687,33.8016014,-44.7557182,162.0610962,-5.2903042,-174.1678925
4400000000,-7.3799901,-140.1219025,9.7832623,32.1298904,-44.6632690,162.5433044,-5.3760881,-175.8531036
4425000000,-7.5329890,-141.0590973,9.8658133,30.4419498,-44.6736603,161.7998962,-5.5143671,-177.3659058
4450000000,-7.6768889,-142.0316010,10.0017004,28.5867901,-44.3868103,161.2032928,-5.6104798,-178.9786072
4475000000,-7.8509150,-143.1396942,10.1355896,26.8140507,-44.3222809,161.9600067,-5.7462478,179.1772003
4500000000,-7.9959612,-144.3339996,10.2112503,25.1899700,-43.9803314,161.6157074,-5.8243132,177.5169983
4525000000,-8.1516533,-145.1934967,10.3532696,23.3642006,-43.6959381,160.2420044,-5.9636440,175.9629974
4550000000,-8.3150063,-146.1822968,10.4719601,21.7794209,-43.6526604,158.7592926,-6.0520320,174.2444000
4575000000,-8.4629450,-147.3195953,10.5505600,20.1068306,-43.5453491,157.8063049,-6.1596961,172.6640015
4600000000,-8.6374245,-148.3518982,10.6509600,18.2883492,-43.5501785,159.5605927,-6.2391448,170.9958038
4625000000,-8.8017340,-149.1208038,10.7632504,16.8623791,-43.2709312,156.4924927,-6.3563151,169.5930939
4650000000,-9.0043402,-150.2460938,10.8380604,15.1646700,-43.0583801,158.0545959,-6.4480019,167.8307037
4675000000,-9.1726274,-151.2474060,10.9425402,13.5104904,-42.9584503,156.5661926,-6.5504451,166.3782959
4700000000,-9.3807650,-152.0850983,11.0558701,12.2033300,-42.8151588,155.6058960,-6.6331358,164.7902069
4725000000,-9.5862579,-152.9302063,11.1170902,10.4316597,-42.6272202,153.8717041,-6.7648711,163.3128052
4750000000,-9.8157349,-153.9974976,11.2293701,8.8995838,-42.4726181,153.2028961,-6.8531790,161.6470947
4775000000,-10.0365896,-155.0447998,11.2987299,7.4216938,-42.2752991,153.2328949,-6.9800940,160.3348999
4800000000,-10.2644901,-156.1394958,11.3863096,5.6784048,-42.3152008,152.1967010,-7.0719471,158.6860046
4825000000,-10.5284595,-157.3020935,11.4794903,4.2208629,-42.1463394,151.9389954,-7.2038469,157.1631012
